Structure,bandgap
BaSmAsAlO6,0.0089
BaSmAsGaO6,0.0237
BaSmCrInO6,0
BaSnO3,0.3724
BaSrAuCeO6,0
BaSrAuLaO6,1.6998
BaSrAuPrO6,1.6286
BaSrAuScO6,1.1824
BaSrAuTaO6,0.1077
BaSrAuTiO6,0
BaSrAuTmO6,1.3727
BaSrAuYbO6,0
BaSrAuYO6,1.495
BaSrBiCeO6,0
BaSrBiLaO6,2.1236
BaSrBiScO6,1.6793
BaSrBiTmO6,1.7684
BaSrBiYO6,1.9478
BaSrCoWO6,0
BaSrCrInO6,0
BaSrCrTlO6,0
BaSrHf2O6,3.6239
BaSrHfZrO6,3.3278
BaSrMgWO6,3.2391
BaSrMnAuO6,0
BaSrMnInO6,0
BaSrMnTaO6,0.0103
BaSrMoYbO6,1.9415
BaSrNbLaO6,2.9712
BaSrNbTlO6,2.3841
BaSrNbTmO6,2.8859
BaSrNbYO6,2.8734
BaSrNiWO6,3.3716
BaSrPtCeO6,1.3111
BaSrPtTaO6,0
BaSrReAuO6,0
BaSrSbBiO6,1.6669
BaSrSbGdO6,3.3629
BaSrSbLaO6,3.6013
BaSrSbPrO6,3.4907
BaSrSbTaO6,1.5248
BaSrSbTmO6,3.3329
BaSrSn2O6,0.6697
BaSrTaBiO6,2.4881
BaSrTaGaO6,3.8973
BaSrTaGdO6,3.1483
BaSrTaInO6,4.2249
BaSrTaLaO6,3.4763
BaSrTaPrO6,3.3326
BaSrTaTlO6,2.5074
BaSrTaTmO6,3.4318
BaSrTaYO6,3.4147
BaSrTcLaO6,0.004
BaSrVBiO6,0.9856
BaSrVInO6,1.5609
BaSrVTlO6,1.1431
BaSrWInO6,0
BaSrZr2O6,3.1199
BaTaO3,0
BaTbO3,0
BaTcO3,0
BaTeO3,0.2201
BaTiO3,1.6663
BaTlCrInO6,0.5736
BaTlMnTbO6,0
BaTmCrLuO6,0
BaTmNbInO6,0
BaTmPtTaO6,0
BaTmReAuO6,0
BaTmTaAlO6,0
BaTmTaBiO6,0
BaTmWAlO6,0
BaWO3,0
BaYbMnAuO6,0
BaYbNbInO6,3.4832
BaYbReAuO6,0
BaYbTaAlO6,3.5776
BaYbWAlO6,0.0025
BaZnReAuO6,0
BaZrO3,3.0377
BCsWInO6,0
BeBaMnInO6,0
BeCsMnInO6,0.0065
BeKMnInO6,0
Bi2CrLiO6,0
Bi2MnAlO6,0
Bi2MoCdO6,0
Bi2MoMgO6,0
Bi2ScCuO6,0
Bi2ScSbO6,0
Bi2SeMnO6,0
Bi2TiMgO6,1.0904
Bi2VLiO6,1.3093
Bi2WCdO6,0
Bi2WMgO6,0
BiAgMoCdO6,0.6733
BiAgWAlO6,0
BiAlO3,1.586
BiBaAuCdO6,0.5038
BiBaAuHgO6,0.275
BiBaHfCuO6,0.0836
BiBaHfNiO6,0.0208
BiBaMoCdO6,0.0346
BiBaNbMgO6,1.3047
BiBaNbScO6,0
BiBaPtTaO6,0
BiBaWAlO6,0
BiBaWCdO6,0
BiBaWMgO6,0
BiCaAuCdO6,0.7057
BiCaAuHgO6,0.2753
BiCaAuTiO6,0.0708
BiCaHfAuO6,0
BiCaHfCuO6,0.1043
BiCaMoCdO6,0
BiCaReAuO6,0
BiCaTaAuO6,0
BiCaWCdO6,0.0177
BiCdAuMgO6,0.6799
BiCdHfCuO6,0
BiCdReAuO6,0
BiCdSeTaO6,0.0463
BiCdTaAuO6,0.0264
BiCePtCdO6,0
BiCeSeTiO6,0
BiCeWCdO6,0
BiCoO3,0
BiCrO3,0
BiCsInNbO6,0.9397
BiCsReAuO6,0
BiCsTaAuO6,0
BiCsTiTeO6,0.021
BiCsVInO6,1.1374
BiCsWAlO6,0.0291
BiCsWInO6,0.0004
BiCsZrSnO6,0.8841
BiCuWAlO6,0
BiFeReAuO6,0
BiHgAuMgO6,0.454
BiHgAuTaO6,0
BiHgAuTiO6,0
BiHgMoMgO6,0.0676
BiHgReAuO6,0
BiHgReSeO6,0
BiHgSeFeO6,0
BiHgSeTaO6,0
BiHgTaTeO6,0
BiHgTiSeO6,0.0145
BiHgTiTeO6,0.0069
BiHgWAlO6,0
BiHgWMgO6,0.0792
BiHoCoTiO6,0
BiInO3,0.0452
BiKAuTaO6,0.0252
BiKInNbO6,0.9905
BiKTaScO6,1.0587
BiKWCeO6,0.0297
BiKWCsO6,0
BiKWInO6,0.0167
BiLiPtTaO6,0.0275
BiLiReAuO6,0
BiLiTaAuO6,0
BiLuSeTiO6,0
BiMgReAuO6,0
BiMgTaPtO6,0
BiMnO3,0
BiMnReAuO6,0
BiMnWAlO6,0
BiPbAuHgO6,0
BiPbHfCoO6,0.1126
BiPbHfCuO6,0.0957
BiPbMoCdO6,0
BiPbMoMgO6,0.0167
BiPbNbMgO6,1.2319
BiPbNbScO6,0
BiPbNiScO6,0.4558
BiPbWAlO6,0
BiPbWCdO6,0
BiPbWMgO6,0
BiPrWCdO6,0
BiPtWAlO6,0.0074
BiRbAuTaO6,0.0275
BiRbHfSiO6,1.4074
BiRbPtTaO6,0.0343
BiRbScSbO6,1.1607
BiRbTaTeO6,0
BiRbTiTeO6,0.0461
BiRbWAlO6,0
BiRbZrSnO6,0.9378
BiRbZrTeO6,0
BiRhO3,0.0161
BiScO3,0.6897
BiSmO3,0.0007
BiSrAuHgO6,0.2763
BiSrAuZnO6,0.5021
BiSrHfCoO6,0.3157
BiSrHfCuO6,0.0967
BiSrMoCdO6,0
BiSrReAuO6,0
BiSrTaAuO6,0
BiSrTiAuO6,0
BiSrWAlO6,0
BiSrWCdO6,0.0153
BiTlAuTiO6,0
BiTlInNbO6,0.0068
BiTlPtTaO6,0
BiTlReAuO6,0
BiTlTaAuO6,0.0585
BiTlTaNbO6,0.0182
BiTlTaScO6,0.0497
BiTlWAlO6,0
BiTlZrSnO6,0.0297
BiTlZrTiO6,0.0346
BiTmAuCdO6,0
BiTmMoCdO6,0
BiTmReAuO6,0
BiTmSeTiO6,0
BiYbAuCdO6,0.7381
BiYbAuHgO6,0.2747
BiYbMoCdO6,0
BiZnReAuO6,0
Ca2AlNbO6,2.8244
Ca2AlSbO6,2.4139
Ca2AuGaO6,0.1392
Ca2BiAsO6,1.6887
Ca2BiNbO6,1.4899
Ca2BiTaO6,1.9785
Ca2CdReO6,0
Ca2CdTeO6,1.3834
Ca2CdWO6,2.8214
Ca2CoNbO6,0.6132
Ca2CoOsO6,0.0177
Ca2CoReO6,0
Ca2CoTaO6,0.7335
Ca2CoTeO6,0
Ca2CoWO6,0
Ca2CrMoO6,0.0057
Ca2CrNbO6,0
Ca2CrOsO6,0
Ca2CrReO6,0.0273
Ca2CrSbO6,0
Ca2CrTaO6,0.6972
Ca2CrTiO6,0
Ca2CrWO6,0.0338
Ca2DyNbO6,2.8596
Ca2DySbO6,3.1986
Ca2DyTaO6,3.3703
Ca2ErNbO6,2.8647
Ca2ErSbO6,3.2516
Ca2ErTaO6,3.392
Ca2EuNbO6,0
Ca2EuSbO6,0
Ca2EuTaO6,0
Ca2FeBiO6,0.4893
Ca2FeIrO6,0
Ca2FeMoO6,0.3648
Ca2FeNbO6,0.0194
Ca2FeOsO6,0
Ca2FeReO6,0
Ca2FeSbO6,0.0201
Ca2FeTaO6,0.0187
Ca2FeWO6,0
Ca2GaNbO6,3.131
Ca2GaTaO6,3.8602
Ca2GdNbO6,2.3822
Ca2GdSbO6,3.8144
Ca2GdTaO6,2.9031
Ca2HoNbO6,2.8623
Ca2HoSbO6,3.232
Ca2HoTaO6,3.3815
Ca2InNbO6,3.4632
Ca2InOsO6,0
Ca2InSbO6,1.4198
Ca2InTaO6,3.6725
Ca2LaNbO6,2.9149
Ca2LaSbO6,3.5891
Ca2LaTaO6,2.9937
Ca2LiOsO6,0
Ca2LiReO6,1.5831
Ca2LuNbO6,2.8674
Ca2MgMoO6,1.8975
Ca2MgReO6,0
Ca2MgTeO6,2.5828
Ca2MgWO6,2.752
Ca2MnIrO6,0
Ca2MnMoO6,0.0067
Ca2MnNbO6,0
Ca2MnReO6,0
Ca2MnRuO6,0
Ca2MnSbO6,0
Ca2MnTaO6,0
Ca2MnTeO6,0
Ca2MnWO6,0.0117
Ca2NaIO6,2.5756
Ca2NdNbO6,2.83
Ca2NdSbO6,2.9459
Ca2NdTaO6,3.1062
Ca2NiOsO6,0
Ca2NiReO6,0
Ca2PdWO6,0
Ca2PrNbO6,2.8249
Ca2PrSbO6,2.8859
Ca2PrTaO6,3.023
Ca2ScNbO6,2.6462
Ca2ScReO6,0
Ca2ScSbO6,3.6664
Ca2ScTaO6,3.1362
Ca2SiTiO6,2.3708
Ca2SmNbO6,2.8424
Ca2SmSbO6,3.047
Ca2SmTaO6,3.256
Ca2TbNbO6,2.856
Ca2TbSbO6,3.1758
Ca2TbTaO6,3.3573
Ca2TiRuO6,0.0254
Ca2TmNbO6,2.8648
Ca2TmSbO6,3.2718
Ca2TmTaO6,3.4014
Ca2VDyO6,1.3238
Ca2VErO6,1.3158
Ca2VHoO6,1.3198
Ca2VMoO6,0
Ca2VNbO6,0
Ca2VTaO6,0
Ca2VTbO6,1.3274
Ca2VTmO6,1.31
Ca2YbNbO6,0
Ca2YbSbO6,0
Ca2YbTaO6,0
Ca2YSbO6,3.2302
Ca2YTaO6,3.3625
Ca2ZnMoO6,1.8218
Ca2ZnTeO6,1.3295
Ca2ZnWO6,2.6915
Ca2ZrHfO6,3.4088
Ca2ZrMnO6,1.3441
CaAgTaAuO6,0.0567
CaCeO3,2.289
CaCO3,0.0067
CaCrO3,0
CaCsCrInO6,0.6453
CaCsReAlO6,0
CaCsReErO6,0.0529
CaCsReGdO6,0
CaCsReLuO6,0.0526
CaCsReYbO6,1.6958
CaCsReYO6,0.0544
CaCsWAlO6,2.5239
CaCsWDyO6,2.4437
CaCsWErO6,2.4547
CaCsWEuO6,0
CaCsWInO6,2.9689
CaCsWTbO6,2.4373
CaCsWTlO6,1.5733
CaCsWYbO6,0.0095
CaCsWYO6,2.4418
CaFeO3,0
CaGeO3,0.5017
CaHfO3,3.6612
CaIrO3,0
CaLaCaRuO6,0
CaLaCaTaO6,2.5401
CaLaCoNbO6,0.0236
CaLaFeTiO6,0.0119
CaLaFeVO6,1.0776
CaLaMgMoO6,0
CaLaMnFeO6,0.0447
CaLaMnRuO6,0
CaMnO3,0
CaMnTi2O6,1.5698
CaMoO3,0
CaNbO3,0.1284
CaNdCaNbO6,2.8415
CaNdCaRuO6,0
CaNdCaTaO6,2.9663
CaOsO3,0
CaPbO3,0.3594
CaPdO3,0
CaPrLiTeO6,3.4542
CaPrO3,0.3977
CaPtO3,0
CaReO3,0
CaRuO3,0
CaSiO3,3.5299
CaSnO3,1.3905
CaSrHf2O6,3.686
CaSrLaSbO6,3.1114
CaSrSmSbO6,3.2016
CaTaO3,0
CaTcO3,0
CaTiO3,1.8285
CaTmMoYbO6,0.0678
CaTmReAuO6,0.0118
CaTmWGaO6,0
CaVO3,0
CaWO3,0.0199
CaYbBiScO6,2.1616
CaYbReAuO6,0.0129
CaYbWGaO6,0.0171
CaZrO3,3.2122
CdCeO3,0
CdCO3,0
CdCsWCeO6,0.0053
CdCsWDyO6,0
CdCsWInO6,0
CdGeO3,0.1022
CdIrO3,0
CdMoO3,0
CdNbO3,0.0164
CdOsO3,0
CdPbO3,0.1388
CdPdO3,0
CdPrO3,0
CdPtO3,0
CdPtWAlO6,0
CdReO3,0
CdRhO3,0
CdRuO3,0
CdSeO3,0
CdSnO3,0
CdTaO3,0.0099
CdTcO3,0
CdTeO3,0
CdWO3,0
CdZrO3,0
Ce2CoTmO6,0
Ce2LuCoO6,0
Ce2MoCdO6,0.0004
Ce2PrCoO6,0.0035
Ce2TaAlO6,0
Ce2TmCrO6,0
Ce2WMgO6,0
CeAgAuTiO6,0
CeAgHfAuO6,0
CeAgMoCdO6,0.0913
CeAgO3,0
CeAgReAuO6,0
CeAgTaAuO6,0
CeAgZrAuO6,0
CeAlO3,0
CeAsO3,0
CeAuO3,0
CeAuReSeO6,0
CeBaCoInO6,0.1461
CeBaCoLuO6,0.167
CeBaCoTmO6,0.0652
CeBaCrGdO6,0
CeBaHfCuO6,0
CeBaHfTiO6,0
CeBaInTaO6,0
CeBaMoCdO6,0
CeBaNbInO6,0.7648
CeBaPrCuO6,0
CeBaPtCdO6,0.0937
CeBaReAuO6,0
CeBaTaAlO6,0
CeBaTaBiO6,0.0042
CeBaTaMgO6,0.0801
CeBaTaScO6,0
CeBaTcPrO6,0.0496
CeBaTmCrO6,0.0295
CeBaTmVO6,0
CeBaWAlO6,0
CeBaWCdO6,0
CeBaWInO6,0.0023
CeBaZrBiO6,0
CeBiMoCdO6,0
CeBiTaAuO6,0
CeBO3,0
CeCaAuCdO6,0
CeCaHfSbO6,0
CeCaPtCdO6,0.0954
CeCaReAuO6,0
CeCdAuTiO6,0
CeCdReAuO6,0
CeCdTaAuO6,0
CeCdTaPtO6,0
CeCdWMgO6,0
CeCoO3,0
CeCrB2O6,0
CeCrO3,0
CeCsAuPrO6,0.1131
CeCsAuScO6,0
